,ENSEMBLE,REAL,INTERPOLATE_RELPERM_INTERPOLATE_GO,INTERPOLATE_RELPERM_INTERPOLATE_WO,LOG10_MULTFLT_MULTFLT_F1,LOG10_MULTFLT_MULTFLT_F2,LOG10_MULTFLT_MULTFLT_F3,LOG10_MULTFLT_MULTFLT_F4,LOG10_MULTFLT_MULTFLT_F5,LOG10_MULTZ_MULTZ_MIDREEK,MULTFLT_MULTFLT_F1,MULTFLT_MULTFLT_F2,MULTFLT_MULTFLT_F3,MULTFLT_MULTFLT_F4,MULTFLT_MULTFLT_F5,MULTZ_MULTZ_MIDREEK,RMSGLOBPARAMS_COHIBA_MODEL_MODE,RMSGLOBPARAMS_FWL,INTERPOLATE_GO,INTERPOLATE_WO,MULTFLT_F1,MULTFLT_F2,MULTFLT_F3,MULTFLT_F4,MULTFLT_F5,MULTZ_MIDREEK,COHIBA_MODEL_MODE,FWL
0,iter-0,0,-0.826329,0.248699,-0.54227,-4.18138,-0.399399,-2.31132,-3.28454,-8.42581,0.2869,6.586e-05,0.398659,0.00488287,0.000519355,3.75139e-09,1,1699.69,-0.826329,0.248699,0.2869,6.586e-05,0.398659,0.00488287,0.000519355,3.75139e-09,1,1699.69
1,iter-0,1,0.316985,0.409402,-0.565209,-1.48574,-1.5339,-4.23363,-0.863293,-2.44306,0.272139,0.0326784,0.0292485,5.83945e-05,0.136996,0.00360531,1,1697.14,0.316985,0.409402,0.272139,0.0326784,0.0292485,5.83945e-05,0.136996,0.00360531,1,1697.14
2,iter-0,2,0.624352,-0.191427,-1.36583,-1.49268,-0.990032,-3.49278,-3.33624,-9.81092,0.04307,0.0321602,0.102322,0.000321526,0.000461061,1.54554e-10,1,1703.86,0.624352,-0.191427,0.04307,0.0321602,0.102322,0.000321526,0.000461061,1.54554e-10,1,1703.86
3,iter-0,3,-0.447921,0.314704,-1.57866,-3.12976,-1.28684,-0.206814,-3.6666,-6.42133,0.026384,0.000741726,0.0516605,0.621135,0.000215474,3.79027e-07,1,1704.22,-0.447921,0.314704,0.026384,0.000741726,0.0516605,0.621135,0.000215474,3.79027e-07,1,1704.22
4,iter-0,4,0.0959496,-0.719854,-0.992369,-4.74853,-1.51606,-4.61043,-1.77032,-3.58297,0.101773,1.78431e-05,0.0304746,2.45226e-05,0.0169701,0.000261236,1,1700.14,0.0959496,-0.719854,0.101773,1.78431e-05,0.0304746,2.45226e-05,0.0169701,0.000261236,1,1700.14
5,iter-0,5,0.230607,0.445677,-1.96568,-1.20843,-0.492547,-3.61197,-3.90836,-8.9325,0.0108223,0.0618829,0.321701,0.000244359,0.000123494,1.16815e-09,1,1711.43,0.230607,0.445677,0.0108223,0.0618829,0.321701,0.000244359,0.000123494,1.16815e-09,1,1711.43
6,iter-0,6,0.219819,0.26291,-0.245816,-2.49732,-1.21206,-1.59303,-2.18634,-0.616604,0.567785,0.00318186,0.0613683,0.0255253,0.00651117,0.241766,1,1704.58,0.219819,0.26291,0.567785,0.00318186,0.0613683,0.0255253,0.00651117,0.241766,1,1704.58
7,iter-0,7,-0.259267,0.965281,-1.96511,-0.210216,-1.43293,-1.44137,-1.15795,-2.44749,0.0108365,0.616289,0.0369035,0.0361932,0.0695097,0.00356873,1,1699.08,-0.259267,0.965281,0.0108365,0.616289,0.0369035,0.0361932,0.0695097,0.00356873,1,1699.08
8,iter-0,8,0.117705,-0.838415,-0.954381,-0.396258,-0.669994,-2.20543,-2.17956,-4.4911,0.111076,0.401552,0.213799,0.00623114,0.00661364,3.22778e-05,1,1707.36,0.117705,-0.838415,0.111076,0.401552,0.213799,0.00623114,0.00661364,3.22778e-05,1,1707.36
9,iter-0,9,-0.521157,0.75085,-0.705508,-3.85695,-1.52604,-2.13952,-2.03392,-0.56833,0.197012,0.000139011,0.0297822,0.00725233,0.00924871,0.27019,1,1704.81,-0.521157,0.75085,0.197012,0.000139011,0.0297822,0.00725233,0.00924871,0.27019,1,1704.81
